OrderID ,CustomerID ,OrderDate  ,TotalAmount
      1 ,         1 ,2024-05-01 ,     100.5
      2 ,         1 ,2024-05-03 ,      75.25
      3 ,         2 ,2024-05-02 ,     200.0
      4 ,         3 ,2024-05-01 ,      50.75
      5 ,         4 ,2024-05-04 ,     300.2
      6 ,         5 ,2024-05-03 ,     150.0
      7 ,         6 ,2024-05-05 ,      80.5
      8 ,         7 ,2024-05-02 ,      90.75
      9 ,         8 ,2024-05-06 ,     120.25
     10 ,         9 ,2024-05-04 ,     175.0
     11 ,        10 ,2024-05-05 ,     250.5
     12 ,         1 ,2024-05-07 ,      60.75
     13 ,         2 ,2024-05-08 ,     180.25
     14 ,         3 ,2024-05-07 ,     110.5
     15 ,         4 ,2024-05-08 ,      90.25
     16 ,         5 ,2024-05-09 ,     300.0
     17 ,         6 ,2024-05-09 ,     150.75
     18 ,         7 ,2024-05-09 ,      75.0
     19 ,         8 ,2024-05-09 ,     200.5
     20 ,         9 ,2024-05-09 ,     125.25
     21 ,        10 ,2024-05-09 ,      95.5
